"","RL.cat","pext","RL.cat.num"
"596","LC",0.0367961177889005,0.298
"597","LC",0.0368472315262738,0.2985
"598","LC",0.0368983212918423,0.299
"599","LC",0.0369493871006787,0.2995
"600","LC",0.0370004289678546,0.3
"601","LC",0.0370514469084413,0.3005
"602","LC",0.0371024409375091,0.301
"603","LC",0.037153411070128,0.3015
"604","LC",0.037204357321367,0.302
"605","LC",0.0372552797062946,0.3025
"606","LC",0.0373061782399785,0.303
"607","LC",0.037357052937486,0.3035
"608","LC",0.0374079038138833,0.304
"609","LC",0.0374587308842362,0.3045
"610","LC",0.0375095341636099,0.305
"611","LC",0.0375603136670687,0.3055
"612","LC",0.0376110694096764,0.306
"613","LC",0.0376618014064961,0.3065
"614","LC",0.0377125096725901,0.307
"615","LC",0.0377631942230202,0.3075
"616","LC",0.0378138550728474,0.308
"617","LC",0.0378644922371321,0.3085
"618","LC",0.037915105730934,0.309
"619","LC",0.0379656955693121,0.3095
"620","LC",0.0380162617673248,0.31
"621","LC",0.0380668043400297,0.3105
"622","LC",0.0381173233024839,0.311
"623","LC",0.0381678186697436,0.3115
"624","LC",0.0382182904568646,0.312
"625","LC",0.0382687386789019,0.3125
"626","LC",0.0383191633509097,0.313
"627","LC",0.0383695644879417,0.3135
"628","LC",0.0384199421050509,0.314
"629","LC",0.0384702962172896,0.3145
"630","LC",0.0385206268397094,0.315
"631","LC",0.0385709339873611,0.3155
"632","LC",0.0386212176752952,0.316
"633","LC",0.0386714779185613,0.3165
"634","LC",0.0387217147322082,0.317
"635","LC",0.0387719281312842,0.3175
"636","LC",0.0388221181308368,0.318
"637","LC",0.0388722847459131,0.3185
"638","LC",0.0389224279915593,0.319
"639","LC",0.0389725478828208,0.3195
"640","LC",0.0390226444347427,0.32
"641","LC",0.039072717662369,0.3205
"642","LC",0.0391227675807435,0.321
"643","LC",0.0391727942049088,0.3215
"644","LC",0.0392227975499073,0.322
"645","LC",0.0392727776307805,0.3225
"646","LC",0.0393227344625692,0.323
"647","LC",0.0393726680603136,0.3235
"648","LC",0.0394225784390532,0.324
"649","LC",0.0394724656138269,0.3245
"650","LC",0.0395223295996727,0.325
"651","LC",0.0395721704116282,0.3255
"652","LC",0.0396219880647303,0.326
"653","LC",0.039671782574015,0.3265
"654","LC",0.0397215539545178,0.327
"655","LC",0.0397713022212735,0.3275
"656","LC",0.0398210273893162,0.328
"657","LC",0.0398707294736794,0.3285
"658","LC",0.0399204084893959,0.329
"659","LC",0.0399700644514978,0.3295
"660","LC",0.0400196973750164,0.33
"661","LC",0.0400693072749826,0.3305
"662","LC",0.0401188941664264,0.331
"663","LC",0.0401684580643773,0.3315
"664","LC",0.0402179989838639,0.332
"665","LC",0.0402675169399144,0.3325
"666","LC",0.0403170119475561,0.333
"667","LC",0.0403664840218158,0.3335
"668","LC",0.0404159331777195,0.334
"669","LC",0.0404653594302925,0.3345
"670","LC",0.0405147627945596,0.335
"671","LC",0.0405641432855448,0.3355
"672","LC",0.0406135009182715,0.336
"673","LC",0.0406628357077623,0.3365
"674","LC",0.0407121476690392,0.337
"675","LC",0.0407614368171236,0.3375
"676","LC",0.0408107031670362,0.338
"677","LC",0.0408599467337968,0.3385
"678","LC",0.0409091675324249,0.339
"679","LC",0.040958365577939,0.3395
"680","LC",0.0410075408853572,0.34
"681","LC",0.0410566934696967,0.3405
"682","LC",0.0411058233459742,0.341
"683","LC",0.0411549305292056,0.3415
"684","LC",0.0412040150344062,0.342
"685","LC",0.0412530768765905,0.3425
"686","LC",0.0413021160707725,0.343
"687","LC",0.0413511326319656,0.3435
"688","LC",0.0414001265751821,0.344
"689","LC",0.0414490979154342,0.3445
"690","LC",0.0414980466677329,0.345
"691","LC",0.0415469728470889,0.3455
"692","LC",0.041595876468512,0.346
"693","LC",0.0416447575470116,0.3465
"694","LC",0.041693616097596,0.347
"695","LC",0.0417424521352732,0.3475
"696","LC",0.0417912656750504,0.348
"697","LC",0.0418400567319341,0.3485
"698","LC",0.0418888253209302,0.349
"699","LC",0.0419375714570438,0.3495
"700","LC",0.0419862951552794,0.35
"701","LC",0.0420349964306409,0.3505
"702","LC",0.0420836752981315,0.351
"703","LC",0.0421323317727536,0.3515
"704","LC",0.042180965869509,0.352
"705","LC",0.0422295776033989,0.3525
"706","LC",0.0422781669894238,0.353
"707","LC",0.0423267340425834,0.3535
"708","LC",0.0423752787778768,0.354
"709","LC",0.0424238012103026,0.3545
"710","LC",0.0424723013548584,0.355
"711","LC",0.0425207792265414,0.3555
"712","LC",0.0425692348403481,0.356
"713","LC",0.042617668211274,0.3565
"714","LC",0.0426660793543145,0.357
"715","LC",0.0427144682844638,0.3575
"716","LC",0.0427628350167157,0.358
